Day,Price
1,100.0
2,100.1
3,100.2
4,100.3
5,100.4
6,100.5
7,100.6
8,100.7
9,100.8
10,100.9
11,101.0
12,101.1
13,101.2
14,101.3
15,101.4
16,101.5
17,101.6
18,101.7
19,101.8
20,101.9
21,102.0
22,102.1
23,102.2
24,102.3
25,102.4
26,102.5
27,102.6
28,102.7
29,102.8
30,102.9
31,103.0
32,103.1
33,103.2
34,103.3
35,103.4
36,103.5
37,103.6
38,103.7
39,103.8
40,103.9
41,104.0
42,104.1
43,104.2
44,104.3
45,104.4
46,104.5
47,104.6
48,104.7
49,104.8
50,104.9
51,105.0
52,105.1
53,105.2
54,105.3
55,105.4
56,105.5
57,105.6
58,105.7
59,105.8
60,105.9
61,106.0
62,106.1
63,106.2
64,106.3
65,106.4
66,106.5
67,106.6
68,106.7
69,106.8
70,106.9
71,107.0
72,107.1
73,107.2
74,107.3
75,107.4
76,107.5
77,107.6
78,107.7
79,107.8
80,107.9
81,108.0
82,108.1
83,108.2
84,108.3
85,108.4
86,108.5
87,108.6
88,108.7
89,108.8
90,108.9
91,109.0
92,109.1
93,109.2
94,109.3
95,109.4
96,109.5
97,109.6
98,109.7
99,109.8
100,109.9
101,110.0
102,110.1
103,110.2
104,110.3
105,110.4
106,110.5
107,110.6
108,110.7
109,110.8
110,110.9
111,111.0
112,111.1
113,111.2
114,111.3
115,111.4
116,111.5
117,111.6
118,111.7
119,111.8
120,111.9
121,112.0
122,112.1
123,112.2
124,112.3
125,112.4
126,112.5
127,112.6
128,112.7
129,112.8
130,112.9
131,113.0
132,113.1
133,113.2
134,113.3
135,113.4
136,113.5
137,113.6
138,113.7
139,113.8
140,113.9
141,114.0
142,114.1
143,114.2
144,114.3
145,114.4
146,114.5
147,114.6
148,114.7
149,114.8
150,114.9
151,115.0
152,115.1
153,115.2
154,115.3
155,115.4
156,115.5
157,115.6
158,115.7
159,115.8
160,115.9
161,116.0
162,116.1
163,116.2
164,116.3
165,116.4
166,116.5
167,116.6
168,116.7
169,116.8
170,116.9
171,117.0
172,117.1
173,117.2
174,117.3
175,117.4
176,117.5
177,117.6
178,117.7
179,117.8
180,117.9
181,118.0
182,118.1
183,118.2
184,118.3
185,118.4
186,118.5
187,118.6
188,118.7
189,118.8
190,118.9
191,119.0
192,119.1
193,119.2
194,119.3
195,119.4
196,119.5
197,119.6
198,119.7
199,119.8
200,119.9
201,120.0
202,120.1
203,120.2
204,120.3
205,120.4
206,120.5
207,120.6
208,120.7
209,120.8
210,120.9
211,121.0
212,121.1
213,121.2
214,121.3
215,121.4
216,121.5
217,121.6
218,121.7
219,121.8
220,121.9
221,122.0
222,122.1
223,122.2
224,122.3
225,122.4
226,122.5
227,122.6
228,122.7
229,122.8
230,122.9
231,123.0
232,123.1
233,123.2
234,123.3
235,123.4
236,123.5
237,123.6
238,123.7
239,123.8
240,123.9
241,124.0
242,124.1
243,124.2
244,124.3
245,124.4
246,124.5
247,124.6
248,124.7
249,124.8
250,124.9
